has_hyphen,has_bracket,is_alpha_num,is_hexa_decimal,is_guid_pattern,field_len,token_1_len,token_2_len,token_3_len,token_4_len,token_5_len,label
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,0,1,1,1,32,8,4,4,4,12,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
1,1,1,1,1,32,9,4,4,4,13,guid
